title,rating,runtime,imdb_rating,genre,release_year,description,director,votes,stars,type
A Christmas Carol,PG,1hr 36 mins,6.8,"Animation, Adventure, Comedy",2009,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Robert Zemeckis,126638,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine, ",Movie
Last Christmas,PG-13,1hr 43 mins,6.5,"Comedy, Drama, Fantasy",2019,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true.",Paul Feig,87409,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller, ",Movie
Miracle on 34th Street,Not Rated,1hr 36 mins,7.9,"Comedy, Drama, Family",1947,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",George Seaton,53189,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart, ",Movie
The Muppet Christmas Carol,G,1hr 25 mins,7.8,"Comedy, Drama, Family",1992,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Brian Henson,67536,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, ",Movie
Bad Santa,R,1hr 32 mins,7.1,"Comedy, Crime, Drama",2003,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Terry Zwigoff,152299,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter, ",Movie
The Christmas Chronicles,PG,1hr 44 mins,7.0,"Adventure, Comedy, Family",2018,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Clay Kaytis,81195,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson, ",Movie
The Nightmare Before Christmas,PG,1hr 16 mins,7.9,"Animation, Family, Fantasy",1993,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Henry Selick,368946,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, ",Movie
A Christmas Story Christmas,PG,1hr 38 mins,6.7,"Comedy, Family",2022,"Follows the now-adult Ralphie as he returns to the house on Cleveland Street to give his kids a magical Christmas like the one he had as a child, reconnecting with childhood friends, and reconciling the passing of his Old Man.",Clay Kaytis,17394,"Peter Billingsley, Erinn Hayes, River Drosche, Julianna Layne, ",Movie
Rudolph the Red-Nosed Reindeer,TV-G,47 mins,8.0,"Animation, Adventure, Comedy",1964,"A young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose.",Larry Roemer,36467,"Billie Mae Richards, Burl Ives, Larry D. Mann, Paul Soles, ",Movie
How the Grinch Stole Christmas!,Not Rated,26 mins,8.3,"Animation, Comedy, Family",1966,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,Chuck Jones,57368,"Ben Washam, Boris Karloff, June Foray, Dal McKennon, ",Movie
